"tanggal";"product_category_name";"product_category_name_englishh";"jumlah"
"2016-10-09";"esporte_lazer";"Sports leisure";2
"2016-10-09";"brinquedos";"Toys";2
"2016-10-09";"perfumaria";"Perfumery";1
"2016-10-09";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2016-10-09";"moveis_escritorio";"Office furniture";1
"2016-10-09";"ferramentas_jardim";"Garden tools";1
"2016-10-09";"informatica_acessorios";"Computers accessories";1
"2016-10-09";"utilidades_domesticas";"Housewares";1
"2016-10-10";"moveis_decoracao";"Furniture decor";9
"2016-10-10";"beleza_saude";"Health beauty";6
"2016-10-10";"esporte_lazer";"Sports leisure";3
"2016-10-10";"consoles_games";"Consoles games";2
"2016-10-10";"market_place";"Market place";2
"2016-10-10";"brinquedos";"Toys";2
"2016-10-10";"telefonia";"Telephony";2
"2016-10-10";"fashion_bolsas_e_acessorios";"Fashion bags accessories";2
"2016-10-10";"perfumaria";"Perfumery";1
"2016-10-10";"informatica_acessorios";"Computers accessories";1
"2016-10-10";"automotivo";"Auto";1
"2016-10-10";"alimentos";"Food";1
"2016-10-10";"telefonia_fixa";"Fixed telephony";1
"2016-10-10";"utilidades_domesticas";"Housewares";1
"2016-10-10";"pet_shop";"Pet shop";1
"2016-10-10";"moveis_escritorio";"Office furniture";1
"2016-10-10";"audio";"Audio";1
"2016-12-23";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-05";"fashion_bolsas_e_acessorios";"Fashion bags accessories";9
"2017-01-05";"moveis_quarto";"Furniture bedroom";8
"2017-01-05";"pet_shop";"Pet shop";5
"2017-01-05";"brinquedos";"Toys";2
"2017-01-05";"musica";"Music";2
"2017-01-05";"automotivo";"Auto";2
"2017-01-05";"bebes";"Baby";2
"2017-01-05";"papelaria";"Stationery";1
"2017-01-05";"ferramentas_jardim";"Garden tools";1
"2017-01-06";"brinquedos";"Toys";1
"2017-01-06";"beleza_saude";"Health beauty";1
"2017-01-06";"telefonia_fixa";"Fixed telephony";1
"2017-01-06";"consoles_games";"Consoles games";1
"2017-01-07";"cool_stuff";"Cool stuff";2
"2017-01-07";"beleza_saude";"Health beauty";1
"2017-01-07";"moveis_decoracao";"Furniture decor";1
"2017-01-07";"relogios_presentes";"Watches gifts";1
"2017-01-08";"cama_mesa_banho";"Bed bath table";1
"2017-01-08";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-08";"ferramentas_jardim";"Garden tools";1
"2017-01-08";"telefonia_fixa";"Fixed telephony";1
"2017-01-09";"moveis_decoracao";"Furniture decor";2
"2017-01-09";"cool_stuff";"Cool stuff";1
"2017-01-09";"pet_shop";"Pet shop";1
"2017-01-09";"beleza_saude";"Health beauty";1
"2017-01-09";"esporte_lazer";"Sports leisure";1
"2017-01-10";"cama_mesa_banho";"Bed bath table";2
"2017-01-10";"relogios_presentes";"Watches gifts";1
"2017-01-10";"moveis_decoracao";"Furniture decor";1
"2017-01-10";"cool_stuff";"Cool stuff";1
"2017-01-10";"ferramentas_jardim";"Garden tools";1
"2017-01-11";"ferramentas_jardim";"Garden tools";3
"2017-01-11";"brinquedos";"Toys";1
"2017-01-11";"esporte_lazer";"Sports leisure";1
"2017-01-11";"eletroportateis";"Small appliances";1
"2017-01-11";"relogios_presentes";"Watches gifts";1
"2017-01-11";"telefonia_fixa";"Fixed telephony";1
"2017-01-11";"moveis_decoracao";"Furniture decor";1
"2017-01-11";"bebes";"Baby";1
"2017-01-12";"moveis_decoracao";"Furniture decor";5
"2017-01-12";"informatica_acessorios";"Computers accessories";4
"2017-01-12";"telefonia";"Telephony";1
"2017-01-12";"eletroportateis";"Small appliances";1
"2017-01-12";"utilidades_domesticas";"Housewares";1
"2017-01-12";"bebes";"Baby";1
"2017-01-12";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-13";"ferramentas_jardim";"Garden tools";3
"2017-01-13";"moveis_decoracao";"Furniture decor";2
"2017-01-13";"esporte_lazer";"Sports leisure";1
"2017-01-13";"relogios_presentes";"Watches gifts";1
"2017-01-13";"beleza_saude";"Health beauty";1
"2017-01-13";"cama_mesa_banho";"Bed bath table";1
"2017-01-13";"utilidades_domesticas";"Housewares";1
"2017-01-14";"moveis_decoracao";"Furniture decor";9
"2017-01-14";"telefonia_fixa";"Fixed telephony";3
"2017-01-14";"esporte_lazer";"Sports leisure";3
"2017-01-14";"consoles_games";"Consoles games";1
"2017-01-15";"moveis_decoracao";"Furniture decor";11
"2017-01-15";"ferramentas_jardim";"Garden tools";2
"2017-01-15";"telefonia";"Telephony";2
"2017-01-15";"brinquedos";"Toys";1
"2017-01-15";"esporte_lazer";"Sports leisure";1
"2017-01-15";"cama_mesa_banho";"Bed bath table";1
"2017-01-15";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-15";"cool_stuff";"Cool stuff";1
"2017-01-15";"beleza_saude";"Health beauty";1
"2017-01-16";"moveis_decoracao";"Furniture decor";5
"2017-01-16";"telefonia_fixa";"Fixed telephony";4
"2017-01-16";"beleza_saude";"Health beauty";3
"2017-01-16";"automotivo";"Auto";3
"2017-01-16";"fashion_bolsas_e_acessorios";"Fashion bags accessories";3
"2017-01-16";"esporte_lazer";"Sports leisure";1
"2017-01-16";"eletronicos";"Electronics";1
"2017-01-16";"telefonia";"Telephony";1
"2017-01-16";"cool_stuff";"Cool stuff";1
"2017-01-16";"pet_shop";"Pet shop";1
"2017-01-17";"moveis_decoracao";"Furniture decor";7
"2017-01-17";"esporte_lazer";"Sports leisure";6
"2017-01-17";"brinquedos";"Toys";5
"2017-01-17";"eletronicos";"Electronics";4
"2017-01-17";"perfumaria";"Perfumery";3
"2017-01-17";"telefonia_fixa";"Fixed telephony";2
"2017-01-17";"beleza_saude";"Health beauty";1
"2017-01-17";"ferramentas_jardim";"Garden tools";1
"2017-01-17";"bebes";"Baby";1
"2017-01-17";"eletroportateis";"Small appliances";1
"2017-01-17";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-17";"relogios_presentes";"Watches gifts";1
"2017-01-17";"";"Unknown";1
"2017-01-17";"cool_stuff";"Cool stuff";1
"2017-01-17";"cama_mesa_banho";"Bed bath table";1
"2017-01-17";"automotivo";"Auto";1
"2017-01-18";"moveis_decoracao";"Furniture decor";7
"2017-01-18";"bebes";"Baby";4
"2017-01-18";"beleza_saude";"Health beauty";3
"2017-01-18";"informatica_acessorios";"Computers accessories";3
"2017-01-18";"brinquedos";"Toys";2
"2017-01-18";"esporte_lazer";"Sports leisure";2
"2017-01-18";"ferramentas_jardim";"Garden tools";1
"2017-01-18";"eletrodomesticos_2";"Home appliances 2";1
"2017-01-18";"pet_shop";"Pet shop";1
"2017-01-18";"eletronicos";"Electronics";1
"2017-01-18";"market_place";"Market place";1
"2017-01-18";"automotivo";"Auto";1
"2017-01-18";"utilidades_domesticas";"Housewares";1
"2017-01-18";"papelaria";"Stationery";1
"2017-01-18";"cama_mesa_banho";"Bed bath table";1
"2017-01-18";"relogios_presentes";"Watches gifts";1
"2017-01-18";"telefonia_fixa";"Fixed telephony";1
"2017-01-19";"moveis_decoracao";"Furniture decor";13
"2017-01-19";"bebes";"Baby";5
"2017-01-19";"cama_mesa_banho";"Bed bath table";3
"2017-01-19";"automotivo";"Auto";3
"2017-01-19";"esporte_lazer";"Sports leisure";2
"2017-01-19";"utilidades_domesticas";"Housewares";2
"2017-01-19";"telefonia";"Telephony";1
"2017-01-19";"eletronicos";"Electronics";1
"2017-01-19";"brinquedos";"Toys";1
"2017-01-19";"market_place";"Market place";1
"2017-01-19";"beleza_saude";"Health beauty";1
"2017-01-19";"informatica_acessorios";"Computers accessories";1
"2017-01-19";"telefonia_fixa";"Fixed telephony";1
"2017-01-20";"moveis_decoracao";"Furniture decor";11
"2017-01-20";"esporte_lazer";"Sports leisure";6
"2017-01-20";"papelaria";"Stationery";4
"2017-01-20";"cool_stuff";"Cool stuff";3
"2017-01-20";"beleza_saude";"Health beauty";3
"2017-01-20";"consoles_games";"Consoles games";3
"2017-01-20";"automotivo";"Auto";2
"2017-01-20";"bebes";"Baby";1
"2017-01-20";"";"Unknown";1
"2017-01-20";"fashion_calcados";"Fashion shoes";1
"2017-01-20";"eletronicos";"Electronics";1
"2017-01-20";"cama_mesa_banho";"Bed bath table";1
"2017-01-20";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-20";"ferramentas_jardim";"Garden tools";1
"2017-01-21";"moveis_decoracao";"Furniture decor";16
"2017-01-21";"papelaria";"Stationery";5
"2017-01-21";"cama_mesa_banho";"Bed bath table";3
"2017-01-21";"consoles_games";"Consoles games";2
"2017-01-21";"esporte_lazer";"Sports leisure";2
"2017-01-21";"beleza_saude";"Health beauty";1
"2017-01-21";"cool_stuff";"Cool stuff";1
"2017-01-21";"fashion_roupa_masculina";"Fashion male clothing";1
"2017-01-21";"eletronicos";"Electronics";1
"2017-01-21";"informatica_acessorios";"Computers accessories";1
"2017-01-21";"automotivo";"Auto";1
"2017-01-22";"moveis_decoracao";"Furniture decor";9
"2017-01-22";"beleza_saude";"Health beauty";6
"2017-01-22";"ferramentas_jardim";"Garden tools";4
"2017-01-22";"brinquedos";"Toys";3
"2017-01-22";"cama_mesa_banho";"Bed bath table";2
"2017-01-22";"telefonia_fixa";"Fixed telephony";2
"2017-01-22";"esporte_lazer";"Sports leisure";1
"2017-01-22";"consoles_games";"Consoles games";1
"2017-01-22";"fashion_underwear_e_moda_praia";"Fashion underwear beach";1
"2017-01-22";"bebes";"Baby";1
"2017-01-22";"eletronicos";"Electronics";1
"2017-01-22";"pet_shop";"Pet shop";1
"2017-01-22";"utilidades_domesticas";"Housewares";1
"2017-01-23";"moveis_decoracao";"Furniture decor";12
"2017-01-23";"beleza_saude";"Health beauty";7
"2017-01-23";"ferramentas_jardim";"Garden tools";6
"2017-01-23";"fashion_bolsas_e_acessorios";"Fashion bags accessories";5
"2017-01-23";"esporte_lazer";"Sports leisure";3
"2017-01-23";"cool_stuff";"Cool stuff";3
"2017-01-23";"climatizacao";"Air conditioning";2
"2017-01-23";"agro_industria_e_comercio";"Agro industry and commerce";2
"2017-01-23";"informatica_acessorios";"Computers accessories";2
"2017-01-23";"brinquedos";"Toys";2
"2017-01-23";"cama_mesa_banho";"Bed bath table";2
"2017-01-23";"utilidades_domesticas";"Housewares";2
"2017-01-23";"consoles_games";"Consoles games";1
"2017-01-23";"automotivo";"Auto";1
"2017-01-23";"pet_shop";"Pet shop";1
"2017-01-24";"beleza_saude";"Health beauty";6
"2017-01-24";"brinquedos";"Toys";6
"2017-01-24";"moveis_decoracao";"Furniture decor";5
"2017-01-24";"automotivo";"Auto";5
"2017-01-24";"ferramentas_jardim";"Garden tools";3
"2017-01-24";"esporte_lazer";"Sports leisure";3
"2017-01-24";"utilidades_domesticas";"Housewares";3
"2017-01-24";"cama_mesa_banho";"Bed bath table";2
"2017-01-24";"bebes";"Baby";2
"2017-01-24";"perfumaria";"Perfumery";1
"2017-01-24";"cool_stuff";"Cool stuff";1
"2017-01-24";"fashion_roupa_feminina";"Fashio female clothing";1
"2017-01-24";"market_place";"Market place";1
"2017-01-24";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-24";"consoles_games";"Consoles games";1
"2017-01-24";"informatica_acessorios";"Computers accessories";1
"2017-01-25";"beleza_saude";"Health beauty";12
"2017-01-25";"esporte_lazer";"Sports leisure";8
"2017-01-25";"moveis_decoracao";"Furniture decor";7
"2017-01-25";"perfumaria";"Perfumery";5
"2017-01-25";"brinquedos";"Toys";4
"2017-01-25";"cool_stuff";"Cool stuff";4
"2017-01-25";"informatica_acessorios";"Computers accessories";3
"2017-01-25";"fashion_bolsas_e_acessorios";"Fashion bags accessories";3
"2017-01-25";"";"Unknown";2
"2017-01-25";"utilidades_domesticas";"Housewares";2
"2017-01-25";"automotivo";"Auto";2
"2017-01-25";"cama_mesa_banho";"Bed bath table";2
"2017-01-25";"telefonia";"Telephony";2
"2017-01-25";"ferramentas_jardim";"Garden tools";2
"2017-01-25";"casa_conforto_2";"Home comfort 2";1
"2017-01-25";"eletroportateis";"Small appliances";1
"2017-01-25";"consoles_games";"Consoles games";1
"2017-01-25";"telefonia_fixa";"Fixed telephony";1
"2017-01-25";"fashion_roupa_feminina";"Fashio female clothing";1
"2017-01-26";"esporte_lazer";"Sports leisure";14
"2017-01-26";"moveis_decoracao";"Furniture decor";14
"2017-01-26";"beleza_saude";"Health beauty";9
"2017-01-26";"bebes";"Baby";7
"2017-01-26";"perfumaria";"Perfumery";7
"2017-01-26";"cool_stuff";"Cool stuff";5
"2017-01-26";"ferramentas_jardim";"Garden tools";5
"2017-01-26";"cama_mesa_banho";"Bed bath table";4
"2017-01-26";"utilidades_domesticas";"Housewares";4
"2017-01-26";"fashion_bolsas_e_acessorios";"Fashion bags accessories";4
"2017-01-26";"telefonia_fixa";"Fixed telephony";3
"2017-01-26";"consoles_games";"Consoles games";3
"2017-01-26";"telefonia";"Telephony";3
"2017-01-26";"automotivo";"Auto";2
"2017-01-26";"malas_acessorios";"Luggage accessories";2
"2017-01-26";"papelaria";"Stationery";2
"2017-01-26";"brinquedos";"Toys";2
"2017-01-26";"moveis_cozinha_area_de_servico_jantar_e_jardim";"Kitchen dining laundry garden furniture";1
"2017-01-26";"seguros_e_servicos";"Security and services";1
"2017-01-26";"eletrodomesticos_2";"Home appliances 2";1
"2017-01-26";"";"Unknown";1
"2017-01-26";"relogios_presentes";"Watches gifts";1
"2017-01-26";"informatica_acessorios";"Computers accessories";1
"2017-01-26";"casa_conforto_2";"Home comfort 2";1
"2017-01-27";"moveis_decoracao";"Furniture decor";9
"2017-01-27";"informatica_acessorios";"Computers accessories";9
"2017-01-27";"cool_stuff";"Cool stuff";6
"2017-01-27";"beleza_saude";"Health beauty";5
"2017-01-27";"esporte_lazer";"Sports leisure";5
"2017-01-27";"brinquedos";"Toys";4
"2017-01-27";"bebes";"Baby";4
"2017-01-27";"pet_shop";"Pet shop";4
"2017-01-27";"perfumaria";"Perfumery";4
"2017-01-27";"consoles_games";"Consoles games";3
"2017-01-27";"";"Unknown";3
"2017-01-27";"moveis_escritorio";"Office furniture";3
"2017-01-27";"moveis_sala";"Furniture living room";3
"2017-01-27";"cama_mesa_banho";"Bed bath table";2
"2017-01-27";"alimentos";"Food";1
"2017-01-27";"papelaria";"Stationery";1
"2017-01-27";"instrumentos_musicais";"Musical instruments";1
"2017-01-27";"telefonia";"Telephony";1
"2017-01-27";"livros_interesse_geral";"Books general interest";1
"2017-01-27";"climatizacao";"Air conditioning";1
"2017-01-27";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-27";"relogios_presentes";"Watches gifts";1
"2017-01-27";"ferramentas_jardim";"Garden tools";1
"2017-01-27";"telefonia_fixa";"Fixed telephony";1
"2017-01-28";"telefonia";"Telephony";3
"2017-01-28";"esporte_lazer";"Sports leisure";3
"2017-01-28";"cama_mesa_banho";"Bed bath table";2
"2017-01-28";"beleza_saude";"Health beauty";2
"2017-01-28";"automotivo";"Auto";2
"2017-01-28";"brinquedos";"Toys";2
"2017-01-28";"moveis_decoracao";"Furniture decor";2
"2017-01-28";"cool_stuff";"Cool stuff";2
"2017-01-28";"bebes";"Baby";2
"2017-01-28";"utilidades_domesticas";"Housewares";2
"2017-01-28";"climatizacao";"Air conditioning";1
"2017-01-28";"eletrodomesticos_2";"Home appliances 2";1
"2017-01-28";"ferramentas_jardim";"Garden tools";1
"2017-01-28";"moveis_escritorio";"Office furniture";1
"2017-01-28";"eletronicos";"Electronics";1
"2017-01-28";"perfumaria";"Perfumery";1
"2017-01-28";"";"Unknown";1
"2017-01-29";"perfumaria";"Perfumery";8
"2017-01-29";"moveis_decoracao";"Furniture decor";7
"2017-01-29";"utilidades_domesticas";"Housewares";6
"2017-01-29";"cama_mesa_banho";"Bed bath table";3
"2017-01-29";"fashion_bolsas_e_acessorios";"Fashion bags accessories";3
"2017-01-29";"beleza_saude";"Health beauty";3
"2017-01-29";"esporte_lazer";"Sports leisure";3
"2017-01-29";"brinquedos";"Toys";2
"2017-01-29";"moveis_sala";"Furniture living room";1
"2017-01-29";"consoles_games";"Consoles games";1
"2017-01-29";"alimentos";"Food";1
"2017-01-29";"bebes";"Baby";1
"2017-01-29";"relogios_presentes";"Watches gifts";1
"2017-01-29";"informatica_acessorios";"Computers accessories";1
"2017-01-29";"";"Unknown";1
"2017-01-29";"ferramentas_jardim";"Garden tools";1
"2017-01-29";"malas_acessorios";"Luggage accessories";1
"2017-01-30";"ferramentas_jardim";"Garden tools";17
"2017-01-30";"cama_mesa_banho";"Bed bath table";7
"2017-01-30";"beleza_saude";"Health beauty";7
"2017-01-30";"moveis_decoracao";"Furniture decor";6
"2017-01-30";"telefonia";"Telephony";5
"2017-01-30";"automotivo";"Auto";4
"2017-01-30";"informatica_acessorios";"Computers accessories";4
"2017-01-30";"moveis_sala";"Furniture living room";3
"2017-01-30";"esporte_lazer";"Sports leisure";3
"2017-01-30";"bebes";"Baby";3
"2017-01-30";"cool_stuff";"Cool stuff";2
"2017-01-30";"perfumaria";"Perfumery";2
"2017-01-30";"brinquedos";"Toys";2
"2017-01-30";"utilidades_domesticas";"Housewares";2
"2017-01-30";"fashion_underwear_e_moda_praia";"Fashion underwear beach";1
"2017-01-30";"eletrodomesticos_2";"Home appliances 2";1
"2017-01-30";"eletroportateis";"Small appliances";1
"2017-01-30";"market_place";"Market place";1
"2017-01-30";"pcs";"Computers";1
"2017-01-31";"moveis_decoracao";"Furniture decor";15
"2017-01-31";"beleza_saude";"Health beauty";8
"2017-01-31";"cama_mesa_banho";"Bed bath table";6
"2017-01-31";"esporte_lazer";"Sports leisure";5
"2017-01-31";"bebes";"Baby";5
"2017-01-31";"moveis_escritorio";"Office furniture";4
"2017-01-31";"telefonia";"Telephony";3
"2017-01-31";"cool_stuff";"Cool stuff";3
"2017-01-31";"moveis_sala";"Furniture living room";3
"2017-01-31";"eletrodomesticos_2";"Home appliances 2";3
"2017-01-31";"consoles_games";"Consoles games";3
"2017-01-31";"perfumaria";"Perfumery";3
"2017-01-31";"";"Unknown";2
"2017-01-31";"automotivo";"Auto";2
"2017-01-31";"relogios_presentes";"Watches gifts";2
"2017-01-31";"dvds_blu_ray";"Dvds blu ray";2
"2017-01-31";"malas_acessorios";"Luggage accessories";2
"2017-01-31";"agro_industria_e_comercio";"Agro industry and commerce";1
"2017-01-31";"market_place";"Market place";1
"2017-01-31";"informatica_acessorios";"Computers accessories";1
"2017-01-31";"telefonia_fixa";"Fixed telephony";1
"2017-01-31";"livros_interesse_geral";"Books general interest";1
"2017-01-31";"utilidades_domesticas";"Housewares";1
"2017-01-31";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2017-01-31";"brinquedos";"Toys";1
"2017-01-31";"eletroportateis";"Small appliances";1
"2017-02-01";"moveis_decoracao";"Furniture decor";7
"2017-02-01";"beleza_saude";"Health beauty";7
"2017-02-01";"informatica_acessorios";"Computers accessories";7
"2017-02-01";"esporte_lazer";"Sports leisure";4
"2017-02-01";"cama_mesa_banho";"Bed bath table";4
"2017-02-01";"cool_stuff";"Cool stuff";4
"2017-02-01";"moveis_escritorio";"Office furniture";4
"2017-02-01";"brinquedos";"Toys";3
"2017-02-01";"perfumaria";"Perfumery";3
"2017-02-01";"ferramentas_jardim";"Garden tools";3
"2017-02-01";"relogios_presentes";"Watches gifts";2
"2017-02-01";"fashion_bolsas_e_acessorios";"Fashion bags accessories";2
"2017-02-01";"telefonia";"Telephony";2
"2017-02-01";"pet_shop";"Pet shop";2
"2017-02-01";"automotivo";"Auto";2
"2017-02-01";"eletroportateis";"Small appliances";1
"2017-02-01";"alimentos";"Food";1
"2017-02-01";"malas_acessorios";"Luggage accessories";1
"2017-02-01";"";"Unknown";1
"2017-02-01";"bebes";"Baby";1
"2017-02-01";"market_place";"Market place";1
"2017-02-01";"livros_interesse_geral";"Books general interest";1
"2017-02-01";"telefonia_fixa";"Fixed telephony";1
"2017-02-02";"moveis_decoracao";"Furniture decor";9
"2017-02-02";"beleza_saude";"Health beauty";9
"2017-02-02";"telefonia";"Telephony";7
"2017-02-02";"cool_stuff";"Cool stuff";7
"2017-02-02";"esporte_lazer";"Sports leisure";5
"2017-02-02";"consoles_games";"Consoles games";4
"2017-02-02";"ferramentas_jardim";"Garden tools";3
"2017-02-02";"relogios_presentes";"Watches gifts";3
"2017-02-02";"eletroportateis";"Small appliances";3
"2017-02-02";"perfumaria";"Perfumery";3
"2017-02-02";"moveis_sala";"Furniture living room";3
"2017-02-02";"papelaria";"Stationery";2
"2017-02-02";"";"Unknown";2
"2017-02-02";"malas_acessorios";"Luggage accessories";2
"2017-02-02";"brinquedos";"Toys";2
"2017-02-02";"informatica_acessorios";"Computers accessories";2
"2017-02-02";"tablets_impressao_imagem";"Tablets printing image";2
"2017-02-02";"moveis_escritorio";"Office furniture";1
"2017-02-02";"construcao_ferramentas_construcao";"Construction tools construction";1
"2017-02-02";"audio";"Audio";1
"2017-02-02";"automotivo";"Auto";1
"2017-02-02";"cama_mesa_banho";"Bed bath table";1
"2017-02-02";"fashion_roupa_masculina";"Fashion male clothing";1
"2017-02-03";"moveis_decoracao";"Furniture decor";9
"2017-02-03";"beleza_saude";"Health beauty";8
"2017-02-03";"esporte_lazer";"Sports leisure";6
"2017-02-03";"brinquedos";"Toys";5
"2017-02-03";"perfumaria";"Perfumery";5
"2017-02-03";"moveis_escritorio";"Office furniture";5
"2017-02-03";"";"Unknown";3
"2017-02-03";"fashion_bolsas_e_acessorios";"Fashion bags accessories";3
"2017-02-03";"cama_mesa_banho";"Bed bath table";2
"2017-02-03";"cool_stuff";"Cool stuff";2
"2017-02-03";"telefonia";"Telephony";2
"2017-02-03";"automotivo";"Auto";1
"2017-02-03";"malas_acessorios";"Luggage accessories";1
"2017-02-03";"instrumentos_musicais";"Musical instruments";1
"2017-02-03";"consoles_games";"Consoles games";1
"2017-02-03";"eletrodomesticos_2";"Home appliances 2";1
"2017-02-03";"informatica_acessorios";"Computers accessories";1
"2017-02-03";"papelaria";"Stationery";1
"2017-02-03";"relogios_presentes";"Watches gifts";1
"2017-02-04";"beleza_saude";"Health beauty";13
"2017-02-04";"moveis_decoracao";"Furniture decor";8
"2017-02-04";"perfumaria";"Perfumery";5
"2017-02-04";"esporte_lazer";"Sports leisure";5
"2017-02-04";"ferramentas_jardim";"Garden tools";3
"2017-02-04";"cool_stuff";"Cool stuff";3
"2017-02-04";"automotivo";"Auto";3
"2017-02-04";"cama_mesa_banho";"Bed bath table";3
"2017-02-04";"informatica_acessorios";"Computers accessories";3
"2017-02-04";"pet_shop";"Pet shop";3
